Complexname,Binders SMILES
1YCR_A_2_B,OC(=O)c1ccc2c3C[C@H]4[C@H]([C@H](c5cccc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4nc(Cl)ccc54)n3nc2c1
4ESG_A_2_D,C[C@H]1CN(C[C@@H](C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(N)=O
1YCR_A_2_B,CC[C@@H](CNS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
1YCR_A_2_B,OC(=O)c1ccc2c3OC[C@H]4[C@H]([C@H](c5ccnc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2c1
1YCR_A_2_B,OC(=O)c1ccc2c3OC[C@H]4[C@H]([C@H](c5ccnc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2c1
1YCR_A_2_B,Cc1c(ccc2nn3[C@@H]4[C@H](COc3c12)N(CC1CC1)[C@]1([C@H]4c2cccc(Cl)c2F)C(=O)Nc2cc(Cl)ccc12)C(O)=O
1YCR_A_2_B,CC[C@@H](CNS(=O)(=O)C(F)(F)F)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
1YCR_A_2_B,OC(=O)c1cnc2nn3[C@@H]4[C@H](COc3c2c1)N(CC1CC1)[C@]1([C@H]4c2cccc(Cl)c2F)C(=O)Nc2cc(Cl)ccc12
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N([C@H](c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)c[nH]c1=O)N(C)C
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2cc(Cl)ccc2C)c(OC)n1
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N([C@H](c3n2C(C)C)c2ccc(Cl)cc2)c2cc(Cl)ccc2C)c(OC)n1
1YCR_A_2_B,CCn1nc2C(=O)N(C(c2c1C(C)C)c1ccc(Cl)cc1C)c1cc(Cl)ccc1OCCN(C)C
1YCR_A_2_B,CC[C@@H](CN1CCOC1=O)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(cc2)C#N)c2cc(Cl)ccc2C)c(OC)n1
1YCR_A_2_B,COc1nc(N)ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)c(=O)n(C)c1
4ESG_A_2_D,CC1CN(CC(C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(=O)NC1CCCCC1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)c(=O)n(C)c1)N(C)C
1YCR_A_2_B,CC[C@@H](CNS(=O)(=O)C(C)(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
4ESG_A_2_D,CNC(=O)c1ccc(F)c(c1)-c1ccc(N2C[C@H](C)N(C)[C@H](C)C2)c(NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)c1
4ESG_A_2_D,C[C@H]1CN(C[C@@H](C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(=O)NC1CCCCC1
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2cc(Cl)ccc2C#N)c(OC)n1
1YCR_A_2_B,C[C@]1(CC(O)=O)C[C@@H]([C@H](N([C@H](CS(=O)(=O)c2ccccc2Cl)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,COc1ncc(-c2c(C#N)c3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2cc(Cl)c(=O)n(C)c2)c(OC)n1
4ESG_A_2_B,CC1CN(CC(C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(=O)NC1CCCCC1
4ESG_A_2_B,C[C@H]1CN(C[C@@H](C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(N)=O
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)c[nH]c1=O)N(C)C
4ESG_A_2_B,CNC(=O)c1ccc(F)c(c1)-c1ccc(N2C[C@H](C)N(C)[C@H](C)C2)c(NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)c1
1YCR_A_2_B,CNc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2cc(Cl)c[nH]c2=O)c(OC)n1
1YCR_A_2_B,COc1nc(N)ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)c[nH]c1=O
4ESG_A_2_B,C[C@H]1CN(C[C@@H](C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(=O)NC1CCCCC1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)c[nH]c1=O)N(C)C
1YCR_A_2_B,C[C@]1(CC(O)=O)C[C@@H]([C@H](N([C@H](CS(=O)(=O)N2CCc3ccccc23)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,COc1cc2CC(=O)N([C@@H](c3ccc(Cl)cc3)c2cc1OC(C)C)c1ccc(cn1)N(C)C[C@H]1CC[C@@H](CC1)N1CN(C)C(=O)C1
1YCR_A_2_B,COc1cc2CC(=O)N([C@@H](c3ccc(Cl)cc3)c2cc1OC(C)C)c1ccc(cn1)N(C)C[C@H]1CC[C@@H](CC1)N1CN(C(C)C)C(=O)C1
4ESG_A_2_B,CC1CN(CC(C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(=O)NC1CCCCC1
3WN7_A_2_B,CCn1nnc2c(C)c(ccc12)[C@@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
1YCR_A_2_B,C[C@]1(CC(O)=O)C[C@@H]([C@H](N([C@H](CS(=O)(=O)c2ccncc2)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,CC[C@]1(CC(O)=O)C[C@@H]([C@H](N([C@H](CS(=O)(=O)c2ccccc2Cl)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,CC[C@]1(CC(O)=O)C[C@@H]([C@H](N([C@H](CS(=O)(=O)c2cccc(F)c2)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,CC[C@]1(CC(O)=O)C[C@@H]([C@H](N([C@H](CS(=O)(=O)c2ccc(F)cc2)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1[C@@H]([C@H](C[C@](C)(CS(N)(=O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
3UVW_A_2_B,CCS(=O)(=O)Nc1cc(C2CC2)c(Oc2ccc(F)cc2F)c(c1)-c1cn(C)c(=O)c2[nH]ccc12
3WN7_A_2_M,CCn1nnc2c(C)c(ccc12)C(CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3WN7_A_2_M,CCn1nnc2c(C)c(ccc12)[C@@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3WN7_A_2_M,CCn1nnc2c(C)c(ccc12)[C@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3UVW_A_2_B,CCS(=O)(=O)Nc1cc(C2CC2)c(Oc2ccc(F)cc2F)c(c1)-c1cn(C)c(=O)c2[nH]ccc12
1YCR_A_2_B,CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1[C@@H]([C@H](O[C@H](CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
2RNY_A_2_B,CNC(=O)c1cn(C)c2ccc(N3CCCc4cc(-c5cnn(C)c5)c(cc34)C(F)F)c(F)c12
3WN7_A_2_B,CCn1nnc2c(C)c(ccc12)C(CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3UVW_A_2_B,CCS(=O)(=O)Nc1cc(c(Oc2ccc(F)cc2F)cc1CN1CCN(C)CC1)-c1cn(C)c(=O)c2[nH]ccc12
1YCR_A_2_B,COc1cc2c3OC[C@H]4[C@H]([C@H](c5cccc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2cc1C(O)=O
1YCR_A_2_B,COc1cc2c3OC[C@H]4[C@H]([C@H](c5cccc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2cc1C(O)=O
1YCR_A_2_B,OC(=O)c1ccc2c3OC[C@H]4[C@H]([C@H](c5ccnc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2c1
1YCR_A_2_B,OC(=O)c1ccc2c3OC[C@H]4[C@H]([C@H](c5ccnc(Br)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2c1
1YCR_A_2_B,Cc1c(ccc2nn3[C@@H]4[C@H](COc3c12)N(CC1CC1)[C@]1([C@H]4c2cccc(Cl)c2F)C(=O)Nc2cc(Cl)ccc12)C(O)=O
1YCR_A_2_B,OC(=O)c1cnc2nn3[C@@H]4[C@H](COc3c2c1)N(CC1CC1)[C@]1([C@H]4c2cccc(Cl)c2F)C(=O)Nc2cc(Cl)ccc12
3WN7_A_2_B,CCn1nnc2c(C)c(ccc12)[C@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3WN7_A_2_L,CCn1nnc2c(C)c(ccc12)[C@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
1YCR_A_2_B,CC[C@@H](CN(C)S(C)(=O)=O)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
3WN7_A_2_L,CCn1nnc2c(C)c(ccc12)[C@@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3WN7_A_2_L,CCn1nnc2c(C)c(ccc12)C(CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
1YCR_A_2_B,OC(=O)c1ccc2c3C[C@H]4[C@H]([C@H](c5cccc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4nc(Cl)ccc54)n3nc2c1
1YCR_A_2_B,OC(=O)c1ccc2n3C[C@H]4[C@H]([C@H](c5cc(Cl)cs5)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)c3nc2c1
1YCR_A_2_B,OC(=O)c1ccc2n3C[C@H]4[C@H]([C@H](c5ccc(Cl)s5)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)c3nc2c1
1YCR_A_2_B,OC(=O)c1ccc2n3C[C@H]4[C@H]([C@H](c5cc(Cl)cs5)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)c3nc2c1
1YCR_A_2_B,OC(=O)c1ccc2n3C[C@H]4[C@H]([C@H](c5ccc(Cl)s5)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)c3nc2c1
1YCR_A_2_B,CNc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(cc2)C#N)c2cc(Cl)c[nH]c2=O)c(OC)n1
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2cn(C)c(=O)cc2C)c(OC)n1
4ESG_A_2_B,C[C@H]1CN(C[C@@H](C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(N)=O
1YCR_A_2_B,COc1ncncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)c(=O)n(C)c1
3D9T_A_2_C,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H]1CCCc2ccccc12
1YCR_A_2_B,OC(=O)c1cnc2nn3[C@@H]4[C@H](COc3c2c1)N(CC1CC1)[C@]1([C@H]4c2cccc(Cl)c2F)C(=O)Nc2cc(Cl)ccc12
1YCR_A_2_B,Cc1c(ccc2nn3[C@@H]4[C@H](COc3c12)N(CC1CC1)[C@]1([C@H]4c2cccc(Cl)c2F)C(=O)Nc2cc(Cl)ccc12)C(O)=O
1YCR_A_2_B,OC(=O)c1ccc2c3OC[C@H]4[C@H]([C@H](c5ccnc(Br)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2c1
1YCR_A_2_B,OC(=O)c1ccc2c3OC[C@H]4[C@H]([C@H](c5ccnc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2c1
1YCR_A_2_B,COc1cc2c3OC[C@H]4[C@H]([C@H](c5cccc(Cl)c5F)[C@@]5(N4CC4CC4)C(=O)Nc4cc(Cl)ccc54)n3nc2cc1C(O)=O
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N([C@H](c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)c(=O)n(C)c1)N(C)C
3WN7_A_2_M,CCn1nnc2c(C)c(ccc12)[C@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N([C@H](c2n1C(C)C)c1ccc(Cl)c(F)c1)c1cc(Cl)c[nH]c1=O)N(C)C
1YCR_A_2_B,COc1nc(ncc1-c1c(C(O)=O)c2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)c(=O)n(C)c1)N(C)C
1YCR_A_2_B,CNc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(cc2)C#N)c2cc(Cl)c(=O)n(C)c2)c(OC)n1
1YCR_A_2_B,COc1ncc(-c2c(C(O)=O)c3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2cc(Cl)c(=O)n(C)c2)c(OC)n1
3D9T_A_2_D,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H]1CCCc2ccccc12
1YCR_A_2_B,CCOC(=O)c1c2C(=O)N(C(c2n(C(C)C)c1-c1cnc(OC)nc1OC)c1ccc(Cl)cc1)c1cc(Cl)c(=O)n(C)c1
1YCR_A_2_B,COc1ncc(-c2nc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)C2CCC(=O)N(C)C2)c(OC)n1
1YCR_A_2_B,CNC(=O)[C@H]1CC[C@@H](CC1)N1C(c2c(nc(-c3cnc(OC)nc3OC)n2C(C)C)C1=O)c1ccc(Cl)cc1
4GQ6_A_2_B,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CC(F)C2)CC1)c1cccc(F)c1
1YCR_A_2_B,CNC(=O)N1CCC(CC1)N1C(c2c(nc(-c3cnc(OC)nc3OC)n2C(C)C)C1=O)c1ccc(Cl)cc1
4GQ6_A_2_B,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CC(F)(F)C2)CC1)c1cccc(F)c1
1YCR_A_2_B,COC(=O)N1CCC(CC1)N1C(c2c(nc(-c3cnc(OC)nc3OC)n2C(C)C)C1=O)c1ccc(Cl)cc1
4GQ6_A_2_B,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCC(F)(F)CC2)CC1)c1cccc(F)c1
1YCR_A_2_B,COc1ncc(-c2nc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)C2CN(C)C(=O)N(C)C2)c(OC)n1
